site.latitude,site.longitude,dri_grid_feedstock.price,hydrogen_feedstock.price
39.179,-94.644,58.24602573,7.819127689
40.639,-94.179,51.41859144,6.486845574
42.135,-74.231,54.87195632,9.087358988
39.836,-86.466,54.08137179,7.389792328
44.836,-72.268,79.67190898,11.19138114
43.297,-83.034,54.46538588,7.030717938
41.522,-97.383,48.48607904,6.892715924
43.745,-75.672,50.22448696,7.602515656
40.915,-93.153,50.25523396,6.52284299
45.619,-97.165,48.01464159,6.479866149
38.376,-93.262,57.32420626,8.084316033
38.785,-86.901,58.74660238,8.268727655
38.792,-95.074,48.66910731,6.576432804
40.062,-96.921,44.62706297,6.200145885
42.581,-74.531,50.90152862,7.3545067
38.181,-90.2,61.38834601,8.610442044
40.223,-92.752,53.7541996,6.87663279
42.086,-89.986,53.37882952,6.524971783
40.62,-89.979,55.65806989,6.908352618
40.636,-76.972,72.45617197,10.64305592
42.951,-86.133,57.35833333,7.43043708
39.202,-87.27,58.58810594,8.045451544
38.203,-77.393,62.42842963,9.521704146
43.868,-95.759,47.11402471,6.460728066
42.812,-85.552,56.82341805,7.716463431
38.52,-87.36,58.5870948,8.369258517
42.11,-97.1,45.42147075,6.29428234
38.254,-89.635,56.84951183,7.714561563
44.643,-83.831,61.33378629,8.702613374
44.928,-94.048,52.33871303,7.085928629
44.638,-97.764,48.19730942,7.497728876
45.4,-93.094,56.28973232,7.594526158
42.872,-78.108,52.58970512,8.079507383
42.664,-77.255,55.44160432,8.457847794
38.894,-83.34,60.22555006,9.13484917
41.968,-75.805,59.60083702,8.59590163
39.168,-93.795,53.07708032,7.103576468
44.997,-89.535,56.21071969,7.077430089
42.003,-97.985,46.90393923,6.553646022
40.301,-83.642,52.54980459,7.387797164
42.211,-96.508,47.72590301,6.594923107
41.913,-94.733,48.41150834,6.364914313
40.119,-76.833,63.20207239,9.408568091
46.295,-97.814,50.4352344,6.861520616
41.415,-84.014,57.72454279,7.748746212
40.169,-88.725,55.9963289,6.822567835
41.603,-93.416,50.76824359,6.498809353
44.258,-96.218,48.08888229,6.484302926
42.783,-75.227,58.89441507,8.518178578
43.47,-94.398,48.64393387,6.650122757
46.891,-96.389,52.22032516,7.525073042
44.308,-85.91,58.17542757,6.947540066
42.469,-73.805,70.30200869,10.48294073
38.72,-77.532,67.57701181,10.59481219
46.819,-91.258,65.65937746,8.981078822
39.284,-88.681,54.93068491,7.231633641
40.095,-74.638,57.41269903,8.39533146
39.765,-83.169,60.6389907,8.920491025
43.478,-90.607,54.7934753,6.656543983
40.846,-95.916,49.00242728,6.357131627
41.48,-92.247,51.31129381,6.47246505
46.557,-92.397,65.61020315,8.920584641
42.796,-96.513,46.88752754,6.663217889
41.196,-84.939,56.18609974,7.304981003
41.301,-89.914,52.27357502,6.557154344
38.735,-89.447,56.67704606,7.716713398
44.564,-90.973,54.16784025,6.995728955
43.399,-84.233,56.52538901,7.342584936
40.403,-92.166,51.16250247,6.74221526
38.862,-93.101,52.61488688,6.996040576
41.717,-88.398,58.02462706,7.10284254
44.056,-72.423,57.60315341,9.361197001
45.586,-87.582,57.64037358,7.851745274
44.721,-93.281,54.55981386,7.286968665
40.227,-85.106,55.34456603,7.546306027
41.763,-76.475,62.14805368,8.711817509
42.45,-92.039,50.89051651,6.617038851
44.037,-76.354,52.30808721,7.855595437
46.887,-94.784,55.19318723,7.119884185
41.138,-95.478,50.99325709,6.431124144
39.732,-78.404,69.22754364,11.19056578
39.719,-84.904,56.02114788,8.079337839
44.144,-86.399,54.58691417,6.837009571
42.875,-88.104,54.75903184,7.161985723
40.064,-81.224,59.84133196,8.827448556
43.156,-73.707,80.94288555,11.47455377
43.033,-74.216,74.01588852,10.24146903
41.233,-96.938,44.8074436,6.303142878
38.794,-95.637,46.52550588,6.614472671
41.927,-73.545,53.6741379,8.075798189
39.255,-82.984,63.20230992,9.277783207
39.637,-92.782,54.3036301,6.871183342
42.26,-72.505,72.50926875,10.75063221
38.14,-78.404,77.87765954,11.19263996
43.142,-77.107,59.42168394,9.258997754
43.693,-91.197,60.1929438,7.901418862
43.741,-93.021,49.05224406,6.438050174
45.056,-91.087,57.28220041,7.782807024
45.429,-90.586,60.36112161,7.975822338
40.462,-76.435,72.20604536,11.18261167
39.384,-78.788,69.72767851,10.89852
39.28,-75.199,56.46399806,8.329471452
43.282,-96.668,50.70693151,7.166731574
38.31,-81.476,65.7838273,10.95258698
42.308,-75.389,70.43238095,10.00672665
38.09,-93.692,55.16553143,7.889404346
45.655,-91.509,57.3754534,7.688712794
45.214,-93.571,53.92479583,7.289779539
45.13,-97.311,49.28337615,6.730451436
